i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
8,7,7,2,2,2,7,2,3,0.20991906499966717,,111.0,
8,7,7,2,2,2,7,3,1,0.5136446269998487,,,2187.0
8,7,7,2,2,2,7,3,2,1.3200497820007513,,,2187.0
8,7,7,2,2,2,7,3,3,1.3379739479996715,,,2187.0
8,7,8,2,2,2,7,1,1,1.0742346189999807,36.0,,
8,7,8,2,2,2,7,1,2,0.5687645590005559,36.0,,
8,7,8,2,2,2,7,1,3,0.5640469859999939,36.0,,
8,7,8,2,2,2,7,2,1,0.0005323759996826993,,14.0,
8,7,8,2,2,2,7,2,2,0.21729144100027042,,14.0,
8,7,8,2,2,2,7,2,3,0.20235423899976013,,14.0,
8,7,8,2,2,2,7,3,1,9.202899946103571e-05,,,0.0
8,7,8,2,2,2,7,3,2,0.17573620199982543,,,0.0
