,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
65,33,10,5,3,2,2,70,280,1048576,1.690412521362305,0.0007390975952148,328.02861404418945
66,34,10,5,4,2,2,29,52,1024,0.962172508239746,0.0004029273986816,0.0316579341888427
67,34,10,5,3,2,2,30,60,1024,1.0251450538635254,0.0004627704620361,0.1027054786682128
68,35,10,5,4,2,2,19,17,1,0.8075196743011475,0.0003378391265869,0.0001730918884277
69,35,10,5,3,2,2,20,20,1,0.8491013050079346,0.0004727840423583,0.0003631114959716
70,36,10,5,4,2,2,19,17,1,0.8310856819152832,0.0003905296325683,0.0002055168151855
71,36,10,5,3,2,2,20,20,1,0.8671681880950928,0.0003385543823242,0.000262975692749
72,37,10,5,4,2,2,28,25,1,0.9723522663116456,0.0003149509429931,0.0001940727233886
73,37,10,5,3,2,2,30,30,1,1.0274133682250977,0.0005552768707275,0.0006659030914306
74,38,10,5,4,2,2,19,17,1,1.0420596599578855,0.0005586147308349,0.0002894401550292
75,38,10,5,3,2,2,20,20,1,0.8998885154724121,0.0003421306610107,0.0002715587615966
76,39,10,5,4,2,2,19,17,1,0.7800955772399902,0.0003247261047363,0.0001759529113769
77,39,10,5,3,2,2,20,20,1,0.7466192245483398,0.0003466606140136,0.00026535987854
78,40,10,5,4,2,2,29,26,2,0.9495878219604492,0.0003800392150878,0.0003385543823242
79,40,10,5,3,2,2,30,30,1,1.0057947635650637,0.000575304031372,0.0005226135253906
80,41,10,5,4,2,2,19,17,1,0.787733793258667,0.000577688217163,0.0002942085266113
81,41,10,5,3,2,2,20,20,1,0.8590390682220459,0.0005161762237548,0.0003879070281982
82,42,10,5,4,2,2,19,17,1,0.808128833770752,0.0004205703735351,0.0002193450927734
83,42,10,5,3,2,2,20,20,1,0.8475449085235596,0.0003745555877685,0.0002779960632324
84,43,10,5,4,2,2,48,86,1536,0.9719407558441162,0.0006546974182128,0.0765299797058105
85,43,10,5,3,2,2,50,100,1024,0.9122943878173828,0.0005860328674316,0.2729215621948242
86,44,10,5,4,2,2,28,50,512,0.879840612411499,0.0003433227539062,0.0189769268035888
87,44,10,5,3,2,2,30,60,1024,0.7808518409729004,0.0003786087036132,0.0988969802856445
88,45,10,5,4,2,2,19,17,1,0.7479546070098877,0.0003318786621093,0.0001742839813232
89,45,10,5,3,2,2,20,20,1,0.7880122661590576,0.0003688335418701,0.000272512435913
90,46,10,5,4,2,2,19,17,1,0.5157384872436523,0.0003392696380615,0.0001709461212158
91,46,10,5,3,2,2,20,20,1,0.5543382167816162,0.0005915164947509,0.0004193782806396
92,47,10,5,4,2,2,20,18,2,0.8181824684143066,0.0004608631134033,0.0003371238708496
93,47,10,5,3,2,2,20,20,1,0.9783687591552734,0.0005514621734619,0.0003161430358886
94,48,10,5,4,2,2,19,17,1,0.8116846084594727,0.0003211498260498,0.000195026397705
