,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
110,56,10,5,4,2,2,38,68,1024,0.9496502876281738,0.0003662109375,0.04294228553771973
111,56,10,5,3,2,2,40,80,1024,0.9888770580291748,0.00045609474182128906,0.21114325523376465
112,57,10,5,4,2,2,39,105,59049,0.9585738182067871,0.0004456043243408203,2.613842725753784
113,57,10,5,3,2,2,40,120,59049,0.9872510433197021,0.0003323554992675781,9.421905994415283
114,58,10,5,4,2,2,38,68,1024,0.7977499961853027,0.00033855438232421875,0.03340554237365723
115,58,10,5,3,2,2,40,80,1024,0.8302631378173828,0.00044083595275878906,0.18410658836364746
116,59,10,5,4,2,2,19,17,1,0.7762629985809326,0.0007300376892089844,0.0003986358642578125
117,59,10,5,3,2,2,20,20,1,1.4076876640319824,0.0006439685821533203,0.0004715919494628906
118,60,10,5,4,2,2,48,86,1536,1.360642433166504,0.0004634857177734375,0.07838678359985352
119,60,10,5,3,2,2,50,100,1024,1.0334057807922363,0.0003666877746582031,0.2954256534576416
120,61,10,5,4,2,2,48,86,1536,1.0340163707733154,0.00045013427734375,0.09154367446899414
121,61,10,5,3,2,2,50,100,1024,1.074143409729004,0.0003368854522705078,0.34033632278442383
122,62,10,5,4,2,2,20,18,2,0.6844441890716553,0.00032591819763183594,0.00023627281188964844
123,62,10,5,3,2,2,20,20,1,0.7128939628601074,0.0003757476806640625,0.0002899169921875
124,63,10,5,4,2,2,19,17,1,0.6874198913574219,0.00036978721618652344,0.00020074844360351562
125,63,10,5,3,2,2,20,20,1,0.7302987575531006,0.0003561973571777344,0.0002789497375488281
126,64,10,5,4,2,2,38,68,1024,0.9268631935119629,0.00033283233642578125,0.03868699073791504
127,64,10,5,3,2,2,40,80,1024,1.044386386871338,0.0003960132598876953,0.1493847370147705
128,65,10,5,4,2,2,19,17,1,0.5796771049499512,0.0004222393035888672,0.000209808349609375
129,65,10,5,3,2,2,20,20,1,0.5760650634765625,0.00036907196044921875,0.0003986358642578125
130,66,10,5,4,2,2,29,26,2,0.6578946113586426,0.0003478527069091797,0.0003306865692138672
131,66,10,5,3,2,2,30,30,1,0.672806978225708,0.0003693103790283203,0.00043892860412597656
132,67,10,5,4,2,2,19,17,1,0.78928542137146,0.0006051063537597656,0.0002758502960205078
133,67,10,5,3,2,2,20,20,1,0.6013786792755127,0.0003342628479003906,0.0002644062042236328
134,68,10,5,4,2,2,29,52,1024,0.8428537845611572,0.0003294944763183594,0.022776126861572266
135,68,10,5,3,2,2,30,60,1024,0.8323829174041748,0.00041794776916503906,0.08753371238708496
136,69,10,5,4,2,2,28,17,1,0.9352371692657471,0.00036907196044921875,0.00022602081298828125
137,69,10,5,3,2,2,30,20,1,0.9108586311340332,0.0005209445953369141,0.000331878662109375
138,70,10,5,4,2,2,39,35,3,0.8305025100708008,0.00035691261291503906,0.0006253719329833984
139,70,10,5,3,2,2,40,40,1,0.8627002239227295,0.0003647804260253906,0.0007534027099609375
140,71,10,5,4,2,2,28,24,0,0.830310583114624,0.0003077983856201172,7.987022399902344e-05
141,71,10,5,3,2,2,30,30,1,0.8473198413848877,0.0003452301025390625,0.0004839897155761719
142,72,10,5,4,2,2,20,18,2,0.6756727695465088,0.00030875205993652344,0.00024080276489257812
143,72,10,5,3,2,2,20,20,1,0.6789200305938721,0.00022983551025390625,0.00017118453979492188
144,73,10,5,4,2,2,29,26,2,0.7999308109283447,0.00028586387634277344,0.0002872943878173828
145,73,10,5,3,2,2,30,30,1,0.8506906032562256,0.0004260540008544922,0.0005397796630859375
146,74,10,5,4,2,2,20,18,2,0.7328441143035889,0.00031495094299316406,0.00024509429931640625
147,74,10,5,3,2,2,20,20,1,0.7233977317810059,0.0004229545593261719,0.00034689903259277344
