i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
15,7,5,2,2,2,8,41,134,1180,1.0954411029815674,0.0003376007080078125,0.5391182899475098
15,7,5,2,2,2,9,47,193,1210,1.2422873973846436,0.00044155120849609375,1.3584494590759277
15,7,5,2,2,2,10,53,286,1255,1.3877217769622803,0.0007004737854003906,4.125704050064087
15,8,5,2,2,2,8,44,124,3412,1.1405527591705322,0.0006010532379150391,0.2855238914489746
15,8,5,2,2,2,9,50,167,3748,1.2909693717956543,0.00046634674072265625,0.2616281509399414
15,8,5,2,2,2,10,52,222,3328,1.3427801132202148,0.0004260540008544922,0.7503283023834229
15,8,5,2,2,2,11,58,265,3448,1.5163605213165283,0.0006458759307861328,1.9186208248138428
15,8,5,2,2,2,12,64,392,3700,1.6974446773529053,0.0007600784301757812,2.508667230606079
16,7,5,2,2,2,7,15,8,0,0.8527610301971436,0.00028061866760253906,0.00010848045349121094
16,7,5,2,2,2,8,17,11,0,0.8877499103546143,0.0002884864807128906,9.489059448242188e-05
16,7,5,2,2,2,9,19,14,0,1.1309385299682617,0.0003516674041748047,0.00010442733764648438
16,7,5,2,2,2,10,21,16,0,1.194437026977539,0.0003514289855957031,9.465217590332031e-05
16,8,5,2,2,2,8,17,9,0,0.9337832927703857,0.0002989768981933594,9.918212890625e-05
16,8,5,2,2,2,9,19,11,0,1.0202369689941406,0.0003249645233154297,9.560585021972656e-05
16,8,5,2,2,2,10,21,14,0,1.175811767578125,0.00036334991455078125,9.775161743164062e-05
16,8,5,2,2,2,11,23,17,0,1.3091866970062256,0.00038504600524902344,9.72747802734375e-05
16,8,5,2,2,2,12,25,20,0,1.439521074295044,0.000492095947265625,0.0001323223114013672
17,7,5,2,2,2,7,24,62,128,0.966109037399292,0.00045037269592285156,0.02910447120666504
17,7,5,2,2,2,8,28,88,128,1.1574931144714355,0.0005507469177246094,0.1277756690979004
17,7,5,2,2,2,9,32,120,128,1.337083101272583,0.0005295276641845703,0.31963610649108887
17,7,5,2,2,2,10,36,178,128,1.5315897464752197,0.0004143714904785156,0.6870722770690918
17,8,5,2,2,2,8,24,48,256,1.006305456161499,0.0002944469451904297,0.02073383331298828
17,8,5,2,2,2,9,28,82,256,1.1610655784606934,0.000354766845703125,0.0656592845916748
17,8,5,2,2,2,10,32,124,256,1.3022375106811523,0.00045180320739746094,0.20905327796936035
17,8,5,2,2,2,11,36,182,256,1.4479329586029053,0.0006585121154785156,0.5617990493774414
17,8,5,2,2,2,12,40,216,256,1.6846015453338623,0.0006685256958007812,1.0908503532409668
18,7,5,2,2,2,7,15,11,1,0.9503955841064453,0.0002410411834716797,0.00015354156494140625
18,7,5,2,2,2,8,17,20,1,1.0769026279449463,0.0003001689910888672,0.0002663135528564453
18,7,5,2,2,2,9,19,25,1,1.2726469039916992,0.0003304481506347656,0.0005216598510742188
18,7,5,2,2,2,10,21,36,1,1.4083259105682373,0.00047469139099121094,0.0014824867248535156
18,8,5,2,2,2,8,17,10,1,1.085008144378662,0.0003180503845214844,0.0001666545867919922
18,8,5,2,2,2,9,18,13,1,1.1071233749389648,0.00031304359436035156,0.00016880035400390625
18,8,5,2,2,2,10,20,20,1,1.2864956855773926,0.00037932395935058594,0.00027489662170410156
18,8,5,2,2,2,11,22,27,1,1.4113643169403076,0.00039124488830566406,0.0005340576171875
18,8,5,2,2,2,12,24,34,1,1.5762734413146973,0.0004220008850097656,0.0005462169647216797
19,7,5,2,2,2,7,24,44,128,0.9079961776733398,0.0002532005310058594,0.009653568267822266
19,7,5,2,2,2,8,28,68,128,1.110379695892334,0.0004248619079589844,0.02161264419555664
19,7,5,2,2,2,9,32,86,128,1.2437763214111328,0.0005476474761962891,0.05208873748779297
19,7,5,2,2,2,10,36,144,128,1.3643581867218018,0.0006256103515625,0.1270756721496582
19,8,5,2,2,2,8,27,50,256,1.0295562744140625,0.0005028247833251953,0.0376431941986084
19,8,5,2,2,2,9,28,66,256,1.1591556072235107,0.0003974437713623047,0.06381821632385254
19,8,5,2,2,2,10,32,124,256,1.1992266178131104,0.0004150867462158203,0.25223231315612793
19,8,5,2,2,2,11,36,158,256,1.2479631900787354,0.0004241466522216797,0.6008491516113281
19,8,5,2,2,2,12,40,192,256,1.5021886825561523,0.0007236003875732422,1.3084626197814941
20,7,5,2,2,2,7,30,64,128,0.8708972930908203,0.000293731689453125,0.012125492095947266
20,7,5,2,2,2,8,34,84,128,0.9834797382354736,0.0003185272216796875,0.029350996017456055
20,7,5,2,2,2,9,36,104,128,1.078026533126831,0.00044417381286621094,0.05936861038208008
20,7,5,2,2,2,10,40,144,128,1.1760549545288086,0.000400543212890625,0.1354351043701172
20,8,5,2,2,2,8,34,68,256,0.9822022914886475,0.00039124488830566406,0.019270896911621094
20,8,5,2,2,2,9,38,92,256,1.1206727027893066,0.00041937828063964844,0.056073904037475586
20,8,5,2,2,2,10,42,160,256,1.277759075164795,0.00042891502380371094,0.2217562198638916
20,8,5,2,2,2,11,46,224,256,1.34590482711792,0.0004906654357910156,0.5461490154266357
20,8,5,2,2,2,12,50,260,256,1.4254610538482666,0.0005750656127929688,1.1485562324523926
21,7,5,2,2,2,7,15,14,1,0.6644618511199951,0.00027179718017578125,0.00017404556274414062
21,7,5,2,2,2,8,17,20,1,0.7252516746520996,0.0003609657287597656,0.0003097057342529297
21,7,5,2,2,2,9,19,31,1,0.8485040664672852,0.0003638267517089844,0.0005793571472167969
21,7,5,2,2,2,10,21,41,1,0.8953092098236084,0.0005135536193847656,0.0013430118560791016
21,8,5,2,2,2,8,17,20,1,0.7211380004882812,0.00028514862060546875,0.00022459030151367188
21,8,5,2,2,2,9,18,28,1,0.7681801319122314,0.0003962516784667969,0.0003495216369628906
21,8,5,2,2,2,10,20,34,1,0.9001302719116211,0.00046634674072265625,0.000431060791015625
21,8,5,2,2,2,11,22,42,1,0.939640998840332,0.0005764961242675781,0.0008642673492431641
21,8,5,2,2,2,12,24,52,1,1.045708179473877,0.00042438507080078125,0.0008945465087890625
22,7,5,2,2,2,7,30,36,2,0.9143574237823486,0.0004343986511230469,0.001224517822265625
22,7,5,2,2,2,8,34,56,2,1.027529239654541,0.0004775524139404297,0.002557516098022461
22,7,5,2,2,2,9,38,92,2,1.1864080429077148,0.00039649009704589844,0.006709575653076172
22,7,5,2,2,2,10,42,104,2,1.2832963466644287,0.0003993511199951172,0.01083230972290039
22,8,5,2,2,2,8,34,28,32,1.0567030906677246,0.00043845176696777344,0.0017554759979248047
22,8,5,2,2,2,9,38,46,16,1.095658302307129,0.0004372596740722656,0.004773855209350586
22,8,5,2,2,2,10,42,56,16,1.2997150421142578,0.00038361549377441406,0.006566047668457031
22,8,5,2,2,2,11,46,76,8,1.4291319847106934,0.000457763671875,0.00815439224243164
22,8,5,2,2,2,12,50,106,8,1.5467469692230225,0.000621795654296875,0.020524024963378906
23,7,5,2,2,2,7,15,19,1,0.6559491157531738,0.0004525184631347656,0.0004162788391113281
23,7,5,2,2,2,8,17,29,1,0.7454211711883545,0.0003192424774169922,0.0005600452423095703
23,7,5,2,2,2,9,19,48,1,0.8498451709747314,0.000339508056640625,0.0012013912200927734
23,7,5,2,2,2,10,21,56,1,0.9138405323028564,0.00043702125549316406,0.0017080307006835938
23,8,5,2,2,2,8,17,17,1,0.7495837211608887,0.0004048347473144531,0.0004436969757080078
23,8,5,2,2,2,9,19,31,1,0.8550772666931152,0.0004398822784423828,0.0008306503295898438
23,8,5,2,2,2,10,21,46,1,0.9105596542358398,0.0004258155822753906,0.0015749931335449219
23,8,5,2,2,2,11,23,58,1,1.033801794052124,0.0004858970642089844,0.003330707550048828
23,8,5,2,2,2,12,24,64,1,1.0533125400543213,0.0004246234893798828,0.00468134880065918
24,7,5,2,2,2,7,15,16,1,0.6387064456939697,0.00023508071899414062,0.0002276897430419922
24,7,5,2,2,2,8,17,25,1,0.7152197360992432,0.00036406517028808594,0.0004496574401855469
24,7,5,2,2,2,9,18,32,2,0.7612698078155518,0.0003018379211425781,0.0005893707275390625
24,7,5,2,2,2,10,20,42,2,0.8639724254608154,0.0005524158477783203,0.001271963119506836
24,8,5,2,2,2,8,16,16,2,0.6782634258270264,0.0002579689025878906,0.0002701282501220703
24,8,5,2,2,2,9,18,26,2,0.7620053291320801,0.00028514862060546875,0.0005183219909667969
24,8,5,2,2,2,10,20,34,2,0.8426191806793213,0.0005466938018798828,0.0018773078918457031
24,8,5,2,2,2,11,22,40,2,0.9426379203796387,0.0004467964172363281,0.0021512508392333984
24,8,5,2,2,2,12,24,56,2,1.0825269222259521,0.0005657672882080078,0.006106376647949219
25,7,5,2,2,2,7,33,88,2187,0.9017388820648193,0.00031828880310058594,0.40563511848449707
25,7,5,2,2,2,8,39,158,2187,1.1297667026519775,0.00037670135498046875,1.767608642578125
25,7,5,2,2,2,9,45,243,2187,1.1898281574249268,0.0004150867462158203,4.283445596694946
25,7,5,2,2,2,10,46,280,2188,1.1742308139801025,0.00041937828063964844,3.1647939682006836
25,8,5,2,2,2,8,37,99,6561,1.0025503635406494,0.0005521774291992188,1.1539812088012695
25,8,5,2,2,2,9,43,169,6561,1.1626813411712646,0.0006613731384277344,3.216078996658325
25,8,5,2,2,2,10,44,184,6562,1.2059345245361328,0.0005054473876953125,4.3067991733551025
25,8,5,2,2,2,11,50,218,6562,1.3651769161224365,0.0005893707275390625,8.632758378982544
25,8,5,2,2,2,12,56,306,6562,1.5064921379089355,0.0006244182586669922,24.46381950378418
26,7,5,2,2,2,7,16,15,1,0.6301617622375488,0.0002887248992919922,0.0002715587615966797
26,7,5,2,2,2,8,16,20,1,0.6820394992828369,0.0003821849822998047,0.00043964385986328125
26,7,5,2,2,2,9,18,26,1,0.7597200870513916,0.0004775524139404297,0.0007276535034179688
26,7,5,2,2,2,10,20,44,1,0.8529927730560303,0.0003666877746582031,0.0012025833129882812
26,8,5,2,2,2,8,18,18,1,0.7323708534240723,0.00039196014404296875,0.0003247261047363281
26,8,5,2,2,2,9,18,22,1,0.7559707164764404,0.0004024505615234375,0.0004622936248779297
26,8,5,2,2,2,10,20,28,1,0.8682703971862793,0.0004870891571044922,0.0004978179931640625
26,8,5,2,2,2,11,22,42,1,0.9247334003448486,0.0006921291351318359,0.0012259483337402344
26,8,5,2,2,2,12,24,58,1,1.063767910003662,0.00040650367736816406,0.001516580581665039
27,7,5,2,2,2,7,21,7,1,0.7784838676452637,0.0003650188446044922,0.0001804828643798828
27,7,5,2,2,2,8,23,12,1,0.9853146076202393,0.0002841949462890625,0.00014710426330566406
27,7,5,2,2,2,9,25,23,1,1.1201043128967285,0.00046253204345703125,0.0003597736358642578
27,7,5,2,2,2,10,27,28,1,1.2573671340942383,0.0003657341003417969,0.00036406517028808594
27,8,5,2,2,2,8,24,8,1,0.9693634510040283,0.00038695335388183594,0.0001652240753173828
27,8,5,2,2,2,9,26,13,1,1.113126516342163,0.0004582405090332031,0.00023436546325683594
27,8,5,2,2,2,10,28,26,1,1.218040943145752,0.0004923343658447266,0.00058746337890625
27,8,5,2,2,2,11,30,29,1,1.4952621459960938,0.0003902912139892578,0.0007636547088623047
27,8,5,2,2,2,12,32,36,1,1.525970458984375,0.0005862712860107422,0.0016112327575683594
28,7,5,2,2,2,7,57,252,28672,1.3114728927612305,0.0003113746643066406,11.401710033416748
