i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
5,3,5,2,2,2,3,1,2,0.17465618200367317,12.0,,
5,3,5,2,2,2,3,1,3,0.16732414398575202,12.0,,
5,3,5,2,2,2,3,2,1,0.00010004197247326374,,0.0,
5,3,5,2,2,2,3,2,2,0.09551325504435226,,0.0,
5,3,5,2,2,2,3,2,3,0.09394788299687207,,0.0,
5,3,5,2,2,2,3,3,1,7.447600364685059e-05,,,0.0
5,3,5,2,2,2,3,3,2,0.09341112105175853,,,0.0
5,3,5,2,2,2,3,3,3,0.0001293219975195825,,,0.0
5,4,5,2,2,2,4,1,1,0.44802100397646427,21.0,,
5,4,5,2,2,2,4,1,2,0.27491242001997307,21.0,,
5,4,5,2,2,2,4,1,3,0.2777779560419731,21.0,,
5,4,5,2,2,2,4,2,1,9.781698463484645e-05,,0.0,
5,4,5,2,2,2,4,2,2,0.10530106601072475,,0.0,
5,4,5,2,2,2,4,2,3,0.0966973890317604,,0.0,
5,4,5,2,2,2,4,3,1,7.653201464563608e-05,,,0.0
5,4,5,2,2,2,4,3,2,0.09312739199958742,,,0.0
5,4,5,2,2,2,4,3,3,0.00013996195048093796,,,0.0
5,5,5,2,2,2,5,1,1,0.3913894660072401,20.0,,
5,5,5,2,2,2,5,1,2,0.2025423829909414,20.0,,
5,5,5,2,2,2,5,1,3,0.17305899102939293,20.0,,
5,5,5,2,2,2,5,2,1,0.00011273002019152045,,0.0,
5,5,5,2,2,2,5,2,2,0.09591813699807972,,0.0,
5,5,5,2,2,2,5,2,3,0.09692834701854736,,0.0,
5,5,5,2,2,2,5,3,1,8.02850117906928e-05,,,0.0
5,5,5,2,2,2,5,3,2,0.08854260499356315,,,0.0
5,5,5,2,2,2,5,3,3,0.00014472199836745858,,,0.0
5,6,5,2,2,2,6,1,1,0.560030518041458,29.0,,
5,6,5,2,2,2,6,1,2,0.28995511104585603,29.0,,
5,6,5,2,2,2,6,1,3,0.2899704970186576,29.0,,
5,6,5,2,2,2,6,2,1,0.00012264004908502102,,0.0,
5,6,5,2,2,2,6,2,2,0.11598508403403684,,0.0,
5,6,5,2,2,2,6,2,3,0.09657465695636347,,0.0,
5,6,5,2,2,2,6,3,1,8.377397898584604e-05,,,0.0
5,6,5,2,2,2,6,3,2,0.09004381502745673,,,0.0
5,6,5,2,2,2,6,3,3,0.00013237696839496493,,,0.0
5,7,5,2,2,2,7,1,1,0.6642137669841759,33.0,,
5,7,5,2,2,2,7,1,2,0.2843677700147964,33.0,,
5,7,5,2,2,2,7,1,3,0.346041287004482,33.0,,
5,7,5,2,2,2,7,2,1,0.0001527430140413344,,0.0,
5,7,5,2,2,2,7,2,2,0.12002693203976378,,0.0,
5,7,5,2,2,2,7,2,3,0.10421600902918726,,0.0,
5,7,5,2,2,2,7,3,1,7.437000749632716e-05,,,0.0
5,7,5,2,2,2,7,3,2,0.12744821701198816,,,0.0
5,7,5,2,2,2,7,3,3,0.00011588097549974918,,,0.0
5,8,5,2,2,2,8,1,1,0.6584239960066043,37.0,,
5,8,5,2,2,2,8,1,2,0.28928918699966744,37.0,,
5,8,5,2,2,2,8,1,3,0.29804173100274056,37.0,,
5,8,5,2,2,2,8,2,1,0.0002488060272298753,,0.0,
5,8,5,2,2,2,8,2,2,0.11298783298116177,,0.0,
5,8,5,2,2,2,8,2,3,0.09693499800050631,,0.0,
5,8,5,2,2,2,8,3,1,8.336204336956143e-05,,,0.0
5,8,5,2,2,2,8,3,2,0.08822246495401487,,,0.0
5,8,5,2,2,2,8,3,3,0.00014607596676796675,,,0.0
5,9,5,2,2,2,9,1,1,0.826191296975594,41.0,,
5,9,5,2,2,2,9,1,2,0.30491853499552235,41.0,,
5,9,5,2,2,2,9,1,3,0.29215690499404445,41.0,,
5,9,5,2,2,2,9,2,1,0.0002651559771038592,,0.0,
5,9,5,2,2,2,9,2,2,0.11092100001405925,,0.0,
5,9,5,2,2,2,9,2,3,0.09815439203521237,,0.0,
5,9,5,2,2,2,9,3,1,7.878703763708472e-05,,,0.0
5,9,5,2,2,2,9,3,2,0.08711773995310068,,,0.0
5,9,5,2,2,2,9,3,3,0.00012707803398370743,,,0.0
5,10,5,2,2,2,10,1,1,0.8381221480085514,45.0,,
5,10,5,2,2,2,10,1,2,0.3770604489836842,45.0,,
5,10,5,2,2,2,10,1,3,0.2926324469735846,45.0,,
5,10,5,2,2,2,10,2,1,0.000179984956048429,,0.0,
5,10,5,2,2,2,10,2,2,0.1067755040130578,,0.0,
5,10,5,2,2,2,10,2,3,0.10431535897077993,,0.0,
5,10,5,2,2,2,10,3,1,8.801301009953022e-05,,,0.0
5,10,5,2,2,2,10,3,2,0.09072079398902133,,,0.0
5,10,5,2,2,2,10,3,3,0.000144636956974864,,,0.0
6,3,5,2,2,2,3,1,1,0.3188949499744922,12.0,,
6,3,5,2,2,2,3,1,2,0.2781929849879816,12.0,,
6,3,5,2,2,2,3,1,3,0.28429229295579717,12.0,,
6,3,5,2,2,2,3,2,1,9.912002133205533e-05,,0.0,
6,3,5,2,2,2,3,2,2,0.10569029999896884,,0.0,
6,3,5,2,2,2,3,2,3,0.09752810001373291,,0.0,
6,3,5,2,2,2,3,3,1,7.311400258913636e-05,,,0.0
6,3,5,2,2,2,3,3,2,0.09160200605401769,,,0.0
6,3,5,2,2,2,3,3,3,0.0001293499954044819,,,0.0
6,4,5,2,2,2,4,1,1,0.28680518799228594,12.0,,
6,4,5,2,2,2,4,1,2,0.17927587096346542,12.0,,
6,4,5,2,2,2,4,1,3,0.17154827195918187,12.0,,
6,4,5,2,2,2,4,2,1,0.00010687997564673424,,0.0,
6,4,5,2,2,2,4,2,2,0.09858980495482683,,0.0,
6,4,5,2,2,2,4,2,3,0.09095144300954416,,0.0,
6,4,5,2,2,2,4,3,1,8.397502824664116e-05,,,0.0
6,4,5,2,2,2,4,3,2,0.08947381796315312,,,0.0
6,4,5,2,2,2,4,3,3,0.00013931398279964924,,,0.0
6,5,5,2,2,2,5,1,1,0.496809909993317,19.0,,
6,5,5,2,2,2,5,1,2,0.28337229398312047,19.0,,
6,5,5,2,2,2,5,1,3,0.29536804504459724,19.0,,
6,5,5,2,2,2,5,2,1,0.00013280799612402916,,0.0,
6,5,5,2,2,2,5,2,2,0.10290621203603223,,0.0,
6,5,5,2,2,2,5,2,3,0.09318861900828779,,0.0,
6,5,5,2,2,2,5,3,1,0.0001040190109051764,,,0.0
6,5,5,2,2,2,5,3,2,0.08696590200997889,,,0.0
6,5,5,2,2,2,5,3,3,0.000142844975925982,,,0.0
6,6,5,2,2,2,6,1,1,0.6564200379652902,25.0,,
6,6,5,2,2,2,6,1,2,0.3411002900102176,25.0,,
6,6,5,2,2,2,6,1,3,0.2742312350310385,25.0,,
6,6,5,2,2,2,6,2,1,0.0001303830067627132,,0.0,
6,6,5,2,2,2,6,2,2,0.09690702497027814,,0.0,
6,6,5,2,2,2,6,2,3,0.10002586100017652,,0.0,
6,6,5,2,2,2,6,3,1,7.60799739509821e-05,,,0.0
6,6,5,2,2,2,6,3,2,0.09116356301819906,,,0.0
6,6,5,2,2,2,6,3,3,0.0001675739767961204,,,0.0
6,7,5,2,2,2,7,1,1,0.7466896649566479,28.0,,
6,7,5,2,2,2,7,1,2,0.28822078002849594,28.0,,
6,7,5,2,2,2,7,1,3,0.2944299569935538,28.0,,
6,7,5,2,2,2,7,2,1,0.0001414550351910293,,0.0,
6,7,5,2,2,2,7,2,2,0.11123085097642615,,0.0,
6,7,5,2,2,2,7,2,3,0.09534242103109136,,0.0,
6,7,5,2,2,2,7,3,1,0.00010217103408649564,,,0.0
6,7,5,2,2,2,7,3,2,0.09089458896778524,,,0.0
6,7,5,2,2,2,7,3,3,0.00014700600877404213,,,0.0
6,8,5,2,2,2,8,1,1,0.8549659519921988,31.0,,
6,8,5,2,2,2,8,1,2,0.3821451269905083,31.0,,
6,8,5,2,2,2,8,1,3,0.39479391899658367,31.0,,
6,8,5,2,2,2,8,2,1,0.00015177199384197593,,0.0,
